ID,bridge_ID,inspectionDate,inspectionType,inspector,conditionRatingGiven,defectsFound,criticalDefects,structuralAdequacy,maintenanceRequired,scourFinding,reportRef,nextInspectionDue,notes
50000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000002,2024-01-20,ROUTINE,J. Williams,6,4,0,ADEQUATE,true,Minor scour detected at pier 2. Monitor bi-annually.,https://bridges.transport.nsw.gov.au/reports/INS-2024-001,2025-01-20,"Deck cracking noted on central span. Reinforcement corrosion risk. Mass restriction confirmed."
50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000003,2023-11-10,PRINCIPAL,Dr. K. Patel,4,9,2,MARGINAL,true,Significant scour at arch foundations. CRITICAL - immediate action required.,https://bridges.transport.nsw.gov.au/reports/INS-2023-089,2024-05-10,"Arch ring has longitudinal cracking. Two abutment cracks critical. Interim weight restriction applied."
50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000008,2023-08-15,SPECIAL,M. Thompson,2,14,5,INADEQUATE,true,Extreme scour at all piers. Foundation exposure at pier 2.,https://discover.data.vic.gov.au/reports/VIC-BRG-2023-156,2024-02-15,BRIDGE CLOSED. Structural assessment confirms inadequacy for any traffic. Emergency repair underway.
50000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000009,2024-01-08,ROUTINE,S. Chen,4,6,1,MARGINAL,true,Active scour at pier 3. Scour monitor installed.,https://discover.data.vic.gov.au/reports/VIC-BRG-2024-022,2024-07-08,"Critical defect: spalling at beam end bearing. Mass restriction applied as precaution."
50000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000012,2023-09-22,PRINCIPAL,B. Anderson,3,11,3,MARGINAL,true,Significant scour around timber piles. Pile integrity compromised.,https://bridges.transport.nsw.gov.au/reports/INS-2023-201,2024-03-22,"Timber deck heavily deteriorated. Permit required for B-Doubles. Bridge replacement in 2025-26 budget."
50000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000001,2024-03-15,ROUTINE,R. Nguyen,8,2,0,ADEQUATE,false,No scour detected. Normal sediment deposition.,https://bridges.transport.nsw.gov.au/reports/INS-2024-015,2026-03-15,Minor efflorescence on eastern abutment. Monitoring recommended.
50000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000006,2023-12-05,ROUTINE,T. Yamamoto,6,5,0,ADEQUATE,true,Moderate scour at pier 3 and 4. Wet season monitoring required.,https://data.nt.gov.au/reports/NT-BRG-2023-045,2024-12-05,Wet season restriction confirmed. Scour protection works scheduled Q2 2024.
50000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000004,2024-05-01,ROUTINE,L. Davis,9,1,0,ADEQUATE,false,No scour. Pier protection adequate.,https://bridges.transport.nsw.gov.au/reports/INS-2024-032,2026-05-01,Minor paint blistering on steel truss member. Maintenance painting scheduled.
50000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000005,2024-02-14,ROUTINE,C. Murphy,5,7,0,ADEQUATE,true,Low scour risk. River training works adequate.,https://bridges.transport.nsw.gov.au/reports/INS-2024-008,2025-02-14,"Bearing replacement recommended at next maintenance window. Deck waterproofing showing age."
50000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000010,2024-06-10,ROUTINE,P. O'Brien,8,2,0,ADEQUATE,false,Moderate scour at pier 5. Within acceptable limits.,https://data.qld.gov.au/reports/QLD-BRG-2024-001,2026-06-10,"Key freight route. Structure in good condition for age. Scour monitoring maintained."
