ID,bridge_ID,grossMassLimit_t,grossCombinedLimit_t,singleAxleLimit_t,tandemAxleLimit_t,triaxleGroupLimit_t,quadAxleGroupLimit_t,steerAxleLimit_t,minVerticalClearance_m,designVerticalClearance_m,clearanceSurveyDate,clearanceSurveyMethod,clearanceLane1_m,clearanceLane2_m,carriageway_m,leftShoulder_m,rightShoulder_m,laneWidth_m,trafficableWidth_m,loadRatingStandard,loadRatingFactor,loadRatingMethod,loadRatingEngineer,loadRatingDate,loadRatingReportRef,nextRatingDue,designFatigueLife_years,consumedFatigueLife_pct,remainingFatigueLife_years,fatigueCriticalElement,fatigueSensitive,heavyVehicleCountPerDay,dynamicLoadAllowance_pct,speedLimitForAssessment_kmh,reducedSpeedCondition_kmh,scourCriticalDepth_m,currentScourDepth_m,scourSafetyMargin_m,floodClosureLevel_m,windClosureSpeed_kmh,capacityStatus,capacityNotes,lastReviewedBy,lastReviewedDate,nextReviewDue,createdAt,createdBy,modifiedAt,modifiedBy
ae39b671-7887-53ef-9f13-fa14ea357a4d,30000000-0000-0000-0000-000000000001,42.5,68.0,9.0,16.5,20.0,23.0,6.0,4.8,5.0,2023-06-01,Total station survey,4.9,4.8,9.2,1.5,1.5,3.7,8.8,AS 5100.7:2017,1.05,Deterministic,J. Smith NER-00412,2022-11-01,RPT-HWY31-001-2022,2027-11-01,100,38.0,62.0,Bottom flange weld at mid-span pier 2,true,1850,40,100,40,3.2,1.8,1.4,8.5,90,RESTRICTED,Gross mass restricted to 42.5t due to fatigue sensitivity. Speed limit 40km/h for vehicles >38t. Annual monitoring required.,J. Smith CPEng,2022-11-01,2024-11-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
6be989a5-79d7-5023-9a52-36012073450a,30000000-0000-0000-0000-000000000002,80.0,110.0,10.0,18.5,22.5,26.0,6.5,5.5,5.8,2023-03-15,LiDAR scan,5.6,5.5,12.0,2.0,2.0,4.5,11.2,AS 5100.7:2017,1.15,Reliability-based,R. Patel NER-00587,2023-01-15,RPT-HWY31-002-2023,2028-01-15,100,22.0,78.0,,false,2200,25,110,,4.5,0.8,3.7,12.0,110,FULL,Full capacity bridge — no restrictions from capacity. Unrestricted access for all general access vehicles and HML on approved routes.,R. Patel CPEng,2023-01-15,2025-01-15,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
8aa5aa58-292b-52c8-bb98-2ce1996d4fe1,30000000-0000-0000-0000-000000000003,55.0,80.0,9.0,16.5,20.0,23.0,6.0,4.7,5.0,2022-09-01,Total station survey,4.7,4.7,8.0,1.2,1.2,3.5,7.2,AS 5100.7:2017,0.95,Deterministic,K. Anderson NER-00231,2022-06-01,RPT-HWY31-003-2022,2027-06-01,100,45.0,55.0,Transverse deck reinforcement at span 3,true,1650,40,100,,2.8,1.2,1.6,7.5,80,RESTRICTED,Rating factor 0.95 — marginally below unity. Posted at 55t pending strengthening works. Speed limit 40km/h for vehicles >42.5t.,K. Anderson CPEng,2022-06-01,2024-06-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
9ba4ef7a-4e4c-55b7-9189-fa183391f2bb,30000000-0000-0000-0000-000000000004,42.5,68.0,9.0,16.5,20.0,23.0,6.0,7.2,7.5,2023-01-10,Total station survey,7.3,7.2,10.0,2.0,2.0,4.5,9.2,AS 5100.7:2017,1.08,Deterministic,M. Chen NER-00341,2021-08-01,RPT-PAC-001-2021,2026-08-01,100,28.0,72.0,,false,3100,25,110,,5.0,1.5,3.5,14.0,100,FULL,Major Pacific Highway bridge — full capacity. Regular heavy vehicle route for coastal freight.,M. Chen CPEng,2021-08-01,2023-08-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
e0be56fc-e27b-55fc-b1b5-bf5787ec090e,30000000-0000-0000-0000-000000000005,45.5,68.0,9.0,17.0,22.5,26.0,6.5,4.9,5.2,2022-11-20,Total station survey,5.0,4.9,9.8,1.8,1.8,4.5,9.0,AS 5100.7:2017,1.12,Deterministic,S. Williams NER-00198,2022-09-01,RPT-PAC-002-2022,2027-09-01,100,18.0,82.0,,false,2800,25,110,,4.2,0.5,3.7,11.5,100,FULL,Full capacity. HML approved route — road-friendly suspension vehicles to 45.5t permitted.,S. Williams CPEng,2022-09-01,2024-09-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
d9753117-fb6e-5ef3-b679-47b27e19b784,30000000-0000-0000-0000-000000000006,38.0,55.0,9.0,16.5,20.0,23.0,6.0,5.4,5.6,2021-06-01,Vehicle probe,5.5,5.4,7.5,1.0,1.0,3.5,6.8,AS 5100.7:2017,0.88,Deterministic,T. Nguyen NER-00445,2021-03-01,RPT-STU-001-2021,2026-03-01,80,52.0,38.0,Timber deck planking and pile heads,true,890,40,80,40,2.4,1.4,1.0,6.8,70,RESTRICTED,Timber bridge — restricted to 38t. Speed limit 40km/h. Fatigue-sensitive due to timber construction and age. Replacement programmed 2027.,T. Nguyen CPEng,2021-03-01,2023-03-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
a03f650e-ecab-5f94-8ae1-56a3e13fc726,30000000-0000-0000-0000-000000000007,25.0,35.0,6.0,14.0,18.0,,6.0,3.8,4.0,2020-04-15,Total station survey,3.9,3.8,6.5,0.8,0.8,3.0,5.8,T44,0.72,Deterministic,T. Nguyen NER-00445,2020-01-15,RPT-STU-002-2020,2025-01-15,60,68.0,19.0,Main girder web buckling at support,true,620,40,60,40,2.0,1.6,0.4,5.5,60,RESTRICTED,Severely restricted — rating factor 0.72. Narrow timber bridge posted at 25t maximum. Replacement recommended urgently.,T. Nguyen CPEng,2020-01-15,2022-01-15,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
2a67455b-1bd5-523c-b1af-8e8bd4f87583,30000000-0000-0000-0000-000000000008,10.0,15.0,6.0,9.0,,,6.0,4.2,4.5,2019-08-01,Vehicle probe,4.3,4.2,4.8,0.3,0.3,3.0,4.2,T44,0.55,Deterministic,V. Brown NER-00312,2019-05-01,RPT-MID-001-2019,2024-05-01,60,78.0,13.0,Main girder at mid-span — severe section loss,true,1200,40,40,20,1.8,1.8,0.0,5.2,50,RESTRICTED,CRITICAL: Bridge in poor condition with structural deficiency. Posted 10t. Speed limit 20km/h. Closure under consideration. Urgent review required.,V. Brown CPEng,2019-05-01,2021-05-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
b989be91-9800-541a-91d7-6da2cc3e7685,30000000-0000-0000-0000-000000000009,42.5,68.0,9.0,16.5,20.0,23.0,6.0,5.8,6.0,2023-07-01,LiDAR scan,5.9,5.8,10.5,1.8,1.8,4.5,9.5,AS 5100.7:2017,1.10,Reliability-based,A. Kumar NER-00501,2023-04-01,RPT-MID-002-2023,2028-04-01,100,15.0,85.0,,false,1100,25,110,,3.8,0.4,3.4,10.0,100,FULL,Full capacity. Scour monitoring in place. Check scour depth after any flood event above 8.0m AHD.,A. Kumar CPEng,2023-04-01,2025-04-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
2da10d40-de54-57e1-a7fa-074c67e2491f,30000000-0000-0000-0000-000000000010,80.0,110.0,10.0,18.5,22.5,26.0,6.5,5.2,5.5,2023-09-01,Total station survey,5.3,5.2,12.5,2.5,2.5,5.0,11.8,AS 5100.7:2017,1.20,Reliability-based,P. Davidson NER-00289,2023-06-01,RPT-BAR-001-2023,2028-06-01,100,12.0,88.0,,false,1800,25,110,,6.0,0.2,5.8,16.0,120,FULL,Excellent capacity. Key freight route — Queensland. Unrestricted to 80t gross. HML approved.,P. Davidson CPEng,2023-06-01,2025-06-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
ad94f83e-fee2-5a9e-99fb-6d191b149cc1,30000000-0000-0000-0000-000000000011,42.5,68.0,9.0,16.5,20.0,23.0,6.0,4.9,5.2,2022-12-01,Total station survey,5.0,4.9,9.5,1.5,1.5,4.5,8.8,AS 5100.7:2017,1.02,Deterministic,L. Thompson NER-00178,2022-09-01,RPT-HWY1-001-2022,2027-09-01,100,35.0,65.0,Prestress tendon zone at anchorage,true,3500,30,110,,3.5,0.8,2.7,12.0,90,RESTRICTED,Prestressed concrete bridge — rated at 42.5t. Fatigue monitoring in place due to high HHVD on Pacific Highway approach. Speed limit applies to heavy vehicles.,L. Thompson CPEng,2022-09-01,2024-09-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
6787852f-0099-5aa3-b919-46e5e888195c,30000000-0000-0000-0000-000000000012,5.0,7.0,5.0,8.0,,,5.0,3.6,3.8,2018-03-01,Vehicle probe,3.7,3.6,4.0,0.2,0.2,2.8,3.5,T44,0.40,Deterministic,B. Foster NER-00099,2018-01-01,RPT-NEW-001-2018,2023-01-01,50,85.0,7.0,Timber floor planking and headstock,true,250,40,30,10,1.4,1.4,0.0,3.8,40,RESTRICTED,CRITICAL: Extremely restricted. 5t maximum. Speed limit 10km/h. Bridge approaching end of service life. Replacement funded 2025-26. Avoid if possible.,B. Foster CPEng,2018-01-01,2020-01-01,2024-01-01T00:00:00Z,system,2024-01-01T00:00:00Z,system
