bridgeId,name,state,region,lga,assetOwner,assetClass,structureType,material,yearBuilt,spanLengthM,deckWidthM,totalLengthM,numberOfSpans,numberOfLanes,clearanceHeightM,latitude,longitude,postingStatus,condition,conditionRating,conditionScore,nhvrRouteAssessed,operationalStatus,criticality,inspectionDate,aadtVehicles,remarks,maintenanceAuthority,designLoad,nhvrRef,sourceRefURL
B00001,Sydney Harbour Bridge,NSW,Sydney,City of Sydney,TfNSW,BRIDGE,Steel Arch,Steel,1932,503.0,48.8,1149.0,1,8,,-33.8523,151.2108,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-06-15,,Road: Bradfield Highway; Route No: HW1; Class: State Highway; Heritage listed; Heritage listed structure - ongoing monitoring; Tier: Tier 1; Speed: 60 km/h; Waterway: Sydney Harbour; Source: Transport for NSW / Heritage Register,,T44,,
B00002,Anzac Bridge,NSW,Pyrmont/Glebe,City of Sydney,TfNSW,BRIDGE,Cable-stayed,Concrete/Steel,1995,345.0,32.2,805.0,5,8,,-33.8708,151.1853,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-03-20,,Road: Western Distributor; Route No: SR40; Class: State Road; Heritage listed; Major arterial - well maintained; Tier: Tier 1; Speed: 70 km/h; Waterway: Johnstons Creek/Blackwattle Bay; Source: Transport for NSW,,SM1600,,
B00003,Gladesville Bridge,NSW,Gladesville,City of Ryde,TfNSW,BRIDGE,Concrete Arch,Reinforced Concrete,1964,305.0,22.9,305.0,1,4,,-33.8403,151.1464,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-05-10,,Road: Victoria Road; Route No: MR164; Class: Main Road; Heritage listed; World's longest single span concrete arch at completion; Tier: Tier 1; Speed: 70 km/h; Waterway: Parramatta River; Source: Transport for NSW,,MS18,,
B00004,Ryde Bridge,NSW,Ryde,City of Ryde,TfNSW,BRIDGE,Steel Truss with Lift Span,Steel,1935,60.0,12.0,340.0,8,2,12.5,-33.8263,151.1047,UNRESTRICTED,FAIR,5,,true,OPERATIONAL,STANDARD,2024-04-22,,Road: Church Street / Concord Road; Route No: MR164; Class: Main Road; Heritage listed; Heritage steel truss - lift span maintenance required; Tier: Tier 2; Speed: 60 km/h; Waterway: Parramatta River; Source: Transport for NSW,,MS18,,
B00005,Mooney Mooney Creek Bridge,NSW,Mooney Mooney,Central Coast,TfNSW,BRIDGE,Concrete Box Girder,Prestressed Concrete,1986,76.0,24.0,280.0,4,4,,-33.4664,151.225,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-02-18,,Road: Pacific Motorway (M1); Route No: NR1; Class: National Highway; Heritage listed; High-level bridge on M1 corridor; Tier: Tier 1; Speed: 110 km/h; Waterway: Mooney Mooney Creek; Source: Transport for NSW,,T44,,
B00006,Hawkesbury River Bridge (Brooklyn),NSW,Brooklyn,Hornsby,TfNSW,BRIDGE,Concrete Girder,Prestressed Concrete,1945,61.0,15.0,685.0,12,2,,-33.5375,151.2108,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-01-15,,Road: Pacific Motorway (M1); Route No: NR1; Class: National Highway; Heritage listed; Major crossing - dual bridges; Tier: Tier 1; Speed: 80 km/h; Waterway: Hawkesbury River; Source: Transport for NSW,,T44,,
B00007,Nowra Bridge (New),NSW,Nowra,Shoalhaven,TfNSW,BRIDGE,Concrete Girder,Prestressed Concrete,2022,45.0,22.0,360.0,9,4,,-34.8781,150.6017,UNRESTRICTED,GOOD,9,,true,OPERATIONAL,STANDARD,2024-07-01,,Road: Princes Highway; Route No: HW1; Class: State Highway; Heritage listed; New construction - modern design standard; Tier: Tier 1; Speed: 80 km/h; Waterway: Shoalhaven River; Source: Transport for NSW,,SM1600,,
B00008,Nowra Bridge (Historic),NSW,Nowra,Shoalhaven,TfNSW,BRIDGE,Wrought Iron Truss,Wrought Iron/Steel,1881,58.0,8.5,152.0,3,2,6.5,-34.8781,150.6014,POSTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-07-01,,Road: Princes Highway; Route No: HW1; Class: State Highway; Heritage listed; Whipple truss heritage bridge - being repurposed; Tier: Tier 3; Speed: 40 km/h; Waterway: Shoalhaven River; Source: Transport for NSW / Heritage Register,,Pre-standard,,
B00009,Scabbing Flat Bridge,NSW,Geurie,Dubbo Regional,TfNSW,BRIDGE,Timber Beam,Timber,1960,18.0,8.0,85.0,5,2,,-32.3033,148.8264,UNRESTRICTED,FAIR,5,,true,OPERATIONAL,STANDARD,2025-01-10,,Road: Mitchell Highway; Route No: HW7; Class: State Highway; Full 42.5t load limit reinstated 2025; Tier: Tier 2; Speed: 100 km/h; Waterway: Macquarie River; Source: Transport for NSW,,T44,,
B00010,Victoria Bridge (Picton),NSW,Picton,Wollondilly,TfNSW,BRIDGE,Allan Timber Truss,Timber,1897,22.0,5.5,62.0,3,1,5.0,-34.1792,150.6133,POSTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-09-01,,Road: Menangle Street; Route No: MR246; Class: Main Road; Heritage listed; State Heritage Register - Allan truss type; Tier: Tier 3; Speed: 60 km/h; Waterway: Stonequarry Creek; Source: Transport for NSW / Heritage Register,,Pre-standard,,
B00011,McKanes Bridge,NSW,Megalong Valley,Lithgow,Lithgow City Council,BRIDGE,McDonald Timber Truss,Timber,1893,18.0,5.0,48.0,3,1,4.5,-33.7486,150.2167,POSTED,POOR,3,,false,OPERATIONAL,STANDARD,2024-08-15,,Road: McKanes Falls Road; Route No: LR; Class: Local Road; Heritage listed; State Heritage Register - McDonald truss type; Tier: Tier 3; Speed: 40 km/h; Waterway: Coxs River; Source: Heritage Register / Lithgow Council,,Pre-standard,,
B00012,Monkerai Bridge,NSW,Monkerai,MidCoast,MidCoast Council,BRIDGE,Old PWD Timber Truss,Timber,1904,20.0,5.2,55.0,3,1,4.8,-32.3917,151.9083,POSTED,POOR,3,,false,OPERATIONAL,STANDARD,2024-06-20,,Road: Monkerai Road; Route No: LR; Class: Local Road; Heritage listed; State/National significance - Old PWD truss type; Tier: Tier 3; Speed: 40 km/h; Waterway: Karuah River; Source: Heritage Register / MidCoast Council,,Pre-standard,,
B00013,Silverdale Bridge,NSW,Silverdale,Wollondilly,Wollondilly Shire Council,BRIDGE,Concrete Slab,Reinforced Concrete,1975,14.0,8.0,25.0,2,2,,-33.9256,150.5833,UNRESTRICTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-03-10,,Road: Silverdale Road; Route No: LR; Class: Local Road; Council maintained; Tier: Tier 2; Speed: 60 km/h; Waterway: Nepean River Tributary; Source: Wollondilly Shire Council,,T44,,
B00014,Burragorang Road Bridge,NSW,The Oaks,Wollondilly,Wollondilly Shire Council,BRIDGE,Timber Beam,Timber,1965,12.0,6.5,35.0,3,1,,-34.0833,150.5667,UNRESTRICTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-04-05,,Road: Burragorang Road; Route No: LR; Class: Local Road; Reconstructed substructure 2010; Tier: Tier 2; Speed: 60 km/h; Waterway: Burragorang Creek; Source: Wollondilly Shire Council,,T44,,
B00015,Iron Cove Bridge,NSW,Drummoyne/Rozelle,Inner West,TfNSW,BRIDGE,Concrete Box Girder,Prestressed Concrete,1955,64.0,20.5,382.0,6,4,,-33.8594,151.1511,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-05-20,,Road: Victoria Road; Route No: MR164; Class: Main Road; Heritage listed; Duplicated 2011 with parallel bridge; Tier: Tier 1; Speed: 70 km/h; Waterway: Iron Cove (Parramatta River); Source: Transport for NSW,,SM1600,,
B00016,Silverwater Bridge,NSW,Silverwater,City of Parramatta,TfNSW,BRIDGE,Concrete Girder,Prestressed Concrete,1962,45.0,18.0,210.0,5,4,,-33.8344,151.0561,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-06-01,,Road: Silverwater Road; Route No: SR30; Class: State Road; Heritage listed; Widened and upgraded 2018; Tier: Tier 1; Speed: 70 km/h; Waterway: Parramatta River; Source: Transport for NSW,,T44,,
B00017,Karuah River Bridge,NSW,Karuah,Port Stephens,TfNSW,BRIDGE,Concrete Girder,Prestressed Concrete,2005,55.0,22.0,420.0,8,4,,-32.6536,151.9633,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-03-15,,Road: Pacific Highway; Route No: NR1; Class: National Highway; Heritage listed; Pacific Highway upgrade project; Tier: Tier 1; Speed: 110 km/h; Waterway: Karuah River; Source: Transport for NSW,,SM1600,,
B00018,Hexham Bridge,NSW,Hexham,City of Newcastle,TfNSW,BRIDGE,Concrete Girder,Prestressed Concrete,1971,52.0,18.0,490.0,10,4,,-32.8361,151.6875,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-05-08,,Road: Pacific Highway; Route No: NR1; Class: National Highway; Heritage listed; Major freight corridor bridge; Tier: Tier 1; Speed: 80 km/h; Waterway: Hunter River; Source: Transport for NSW,,T44,,
