ID,inspectionOrder_ID,bridge_ID,defectNumber,elementGroup,elementName,defectCategory,severity,extent,structuralRisk,priority,status,description,location,detectedDate,detectedBy,closedDate,closedBy,closureNotes,photoRef,repairEstimateAUD,notes
80000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,D-BRG-HWY31-001-001,DECK,Deck Slab - Span 2,DURABILITY,LOW,LOCALISED,LOW,ROUTINE,MONITORING,Hairline cracking to deck surface near expansion joint. Width <0.2mm.,Span 2 east side near joint,2024-03-15,J. Thompson,,,,PHOTO-2024-001-001,5000.00,Monitor at next inspection. Apply sealant if cracks widen.
80000000-0000-0000-0000-000000000002,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,D-BRG-HWY31-002-001,DECK,Deck Slab - Span 2,STRUCTURAL,HIGH,EXTENSIVE,MEDIUM,HIGH,OPEN,Transverse cracking with delamination of concrete cover across Span 2. Evidence of reinforcement corrosion on underside of deck.,Span 2 full width underside,2024-01-20,M. Chen,,,,PHOTO-2024-002-001,85000.00,Full depth deck repair required. Corrosion inhibitor treatment and patch repair programme.
80000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,D-BRG-HWY31-002-002,SUBSTRUCTURE,Pier 2,STRUCTURAL,HIGH,LOCALISED,HIGH,HIGH,OPEN,Active scour at Pier 2 base. Scour depth 300mm below design level. Undermining of pile cap detected.,Pier 2 base - waterway,2024-01-20,M. Chen,,,,PHOTO-2024-002-002,120000.00,Rock armour protection works required urgently. Geotechnical investigation required.
80000000-0000-0000-0000-000000000004,50000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000002,D-BRG-HWY31-002-003,SUBSTRUCTURE,Pier 4,STRUCTURAL,MEDIUM,LOCALISED,MEDIUM,MEDIUM,OPEN,Scour at Pier 4 similar to Pier 2 but at shallower depth (280mm).,Pier 4 base - waterway,2024-01-20,M. Chen,,,,PHOTO-2024-002-003,95000.00,Scour protection works as part of Pier 2 programme.
80000000-0000-0000-0000-000000000005,50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000003,D-BRG-HWY31-003-001,DECK,Deck Slab,STRUCTURAL,CRITICAL,EXTENSIVE,HIGH,IMMEDIATE,OPEN,Severe structural cracking and delamination across 40% of deck. Spalling of concrete cover exposing main reinforcement bars. Active corrosion.,Full deck span 1 and 2,2023-11-10,R. Patel,,,,PHOTO-2023-003-001,450000.00,URGENT - Full deck replacement required. Load restrictions in place. Close monitoring until rehabilitation completed.
80000000-0000-0000-0000-000000000006,50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000003,D-BRG-HWY31-003-002,SUBSTRUCTURE,Abutment North,STRUCTURAL,HIGH,LOCALISED,HIGH,HIGH,OPEN,Structural crack 2.5mm width at abutment wall. Possible foundation movement. Water ingress.,North abutment - east face,2023-11-10,R. Patel,,,,PHOTO-2023-003-002,180000.00,Structural engineer to assess. Monitor crack width monthly. Underpinning may be required.
80000000-0000-0000-0000-000000000007,50000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000003,D-BRG-HWY31-003-003,SUBSTRUCTURE,Pier 1,STRUCTURAL,CRITICAL,LOCALISED,EXTREME,IMMEDIATE,OPEN,CRITICAL SCOUR - 550mm scour at Pier 1 with pile cap undermining. Immediate structural risk.,Pier 1 - waterway,2023-11-10,R. Patel,,,,PHOTO-2023-003-003,280000.00,EMERGENCY - Scour remediation emergency works ordered. Bridge under monitoring. Mass restrictions in force.
80000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000005,D-BRG-WRN-001-001,SUBSTRUCTURE,Pier 1,DURABILITY,MEDIUM,LOCALISED,LOW,MEDIUM,OPEN,Concrete spalling at waterline exposing reinforcement. Estimated 15% section loss.,Pier 1 waterline zone,2024-02-12,L. Nguyen,,,,PHOTO-2024-005-001,35000.00,Concrete repair and cathodic protection recommended at next maintenance cycle.
80000000-0000-0000-0000-000000000009,50000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000005,D-BRG-WRN-001-002,BARRIERS,Guard Rail - North,SAFETY,MEDIUM,MODERATE,LOW,MEDIUM,UNDER_REPAIR,Guard rail posts corroded at base. 6 of 12 posts showing >50% section loss.,North side full length,2024-02-12,L. Nguyen,,,,PHOTO-2024-005-002,28000.00,Guard rail replacement in progress - contractor engaged.
80000000-0000-0000-0000-000000000010,,30000000-0000-0000-0000-000000000002,D-BRG-HWY31-002-004,FURNITURE,Expansion Joint - Span 1/2,SERVICEABILITY,LOW,LOCALISED,NEGLIGIBLE,ROUTINE,REPAIRED,Failed neoprene seal in expansion joint allowing water ingress to deck soffit.,Joint between Span 1 and 2,2023-06-10,Maintenance Team,2023-08-15,Site Supervisor,Joint resealed with new neoprene extrusion. Drains cleared.,PHOTO-2023-002-001,8500.00,Repair completed successfully. No further action required.
