ID,bridge_ID,systemType,externalId,externalURL,description,isPrimary,isActive
60000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,BANC,BANC-NSW-HWY31-001,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-001,BANC primary reference for Marulan Creek Bridge,true,true
60000000-0000-0000-0000-000000000002,30000000-0000-0000-0000-000000000001,RMS,RMS-BRG-0012345,https://opendata.transport.nsw.gov.au/dataset/bridge/RMS-BRG-0012345,TfNSW Roads & Maritime bridge register,false,true
60000000-0000-0000-0000-000000000003,30000000-0000-0000-0000-000000000002,BANC,BANC-NSW-HWY31-002,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-002,BANC reference for Goulburn River Bridge,true,true
60000000-0000-0000-0000-000000000004,30000000-0000-0000-0000-000000000002,RMS,RMS-BRG-0012346,,TfNSW legacy bridge reference,false,true
60000000-0000-0000-0000-000000000005,30000000-0000-0000-0000-000000000003,BANC,BANC-NSW-HWY31-003,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-003,BANC reference for Jugiong Creek Bridge,true,true
60000000-0000-0000-0000-000000000006,30000000-0000-0000-0000-000000000004,BANC,BANC-NSW-PAC-001,https://bancdata.austroads.com.au/bridge/BANC-NSW-PAC-001,BANC reference for Clarence River Bridge,true,true
60000000-0000-0000-0000-000000000007,30000000-0000-0000-0000-000000000005,BANC,BANC-VIC-WRN-001,https://bancdata.austroads.com.au/bridge/BANC-VIC-WRN-001,BANC reference for Loddon River Bridge,true,true
60000000-0000-0000-0000-000000000008,30000000-0000-0000-0000-000000000005,VICROADS,VR-BRG-2201,https://vicroads.vic.gov.au/bridges/VR-BRG-2201,VicRoads bridge asset register,false,true
60000000-0000-0000-0000-000000000009,30000000-0000-0000-0000-000000000007,BANC,BANC-QLD-BRU-001,,BANC reference for Fitzroy River Bridge,true,true
60000000-0000-0000-0000-000000000010,30000000-0000-0000-0000-000000000010,BANC,BANC-WA-GRT-001,,BANC reference for Murchison River Bridge,true,true
