ID,bridgeId,name,region,state,structureType,material,latitude,longitude,route_ID,routeKm,condition,conditionScore,inspectionDate,yearBuilt,spanLengthM,deckWidthM,clearanceHeightM,postingStatus,isActive,lga,assetOwner,maintenanceAuthority,conditionRating,numberOfSpans,numberOfLanes,totalLengthM,widthM,designLoad,nhvrRouteAssessed,gazetteRef,freightRoute,overMassRoute,highPriorityAsset,floodImpacted,scourRisk,aadtVehicles,sourceRefURL,nhvrRef,openDataRef,remarks,roadRoute,routeNumber,designStandard,conditionStandard,seismicZone,nextInspectionDue,dataSource,bancId,bancURL,primaryExternalSystem,primaryExternalId,primaryExternalURL
30000000-0000-0000-0000-000000000001,BRG-HWY31-001,Marulan Creek Bridge,Southern Highlands,NSW,Beam,Concrete,-34.7126,150.0123,10000000-0000-0000-0000-000000000001,218.5,GOOD,82,2024-03-15,1978,25.4,9.2,5.5,UNRESTRICTED,true,Goulburn Mulwaree,TfNSW,TfNSW Roads & Maritime,8,3,2,27.6,10.5,T44,true,,true,false,true,false,LOW,3200,https://opendata.transport.nsw.gov.au/dataset/bridge-and-major-culvert-data,NHVR-BRG-NSW-001,TfNSW-BRIDGE-001,,Hume Highway,A31,AS 5100.2,AS 5100.7,Zone 1,2026-03-15,TfNSW Open Data,BANC-NSW-HWY31-001,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-001,BANC,BANC-NSW-HWY31-001,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-001
30000000-0000-0000-0000-000000000002,BRG-HWY31-002,Goulburn River Bridge,Southern Tablelands,NSW,Box Girder,Concrete,-34.8745,149.7234,10000000-0000-0000-0000-000000000001,264.2,FAIR,61,2024-01-20,1965,38.6,8.8,4.8,POSTED,true,Goulburn Mulwaree,TfNSW,TfNSW Roads & Maritime,6,5,2,42.0,10.0,T44,true,NSW Gazette 2024/123,true,false,true,true,HIGH,2800,https://opendata.transport.nsw.gov.au/dataset/bridge-and-major-culvert-data,NHVR-BRG-NSW-002,TfNSW-BRIDGE-002,Scour protection works recommended. Annual flood monitoring in place.,Hume Highway,A31,AS 5100.2,AS 5100.7,Zone 1,2025-01-20,TfNSW Open Data,BANC-NSW-HWY31-002,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-002,BANC,BANC-NSW-HWY31-002,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-002
30000000-0000-0000-0000-000000000003,BRG-HWY31-003,Jugiong Creek Bridge,Hilltops,NSW,Arch,Concrete,-34.8234,148.3245,10000000-0000-0000-0000-000000000001,390.1,POOR,38,2023-11-10,1952,18.2,7.5,4.2,POSTED,true,Hilltops,TfNSW,TfNSW Roads & Maritime,4,2,2,20.1,8.5,T44,true,NSW Gazette 2023/089,true,false,true,true,CRITICAL,1500,https://opendata.transport.nsw.gov.au/dataset/bridge-and-major-culvert-data,NHVR-BRG-NSW-003,TfNSW-BRIDGE-003,Major rehabilitation required. 1952 structure approaching end of design life.,Hume Highway,A31,AS 5100.2,AS 5100.7,Zone 1,2024-05-10,TfNSW Open Data,BANC-NSW-HWY31-003,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-003,BANC,BANC-NSW-HWY31-003,https://bancdata.austroads.com.au/bridge/BANC-NSW-HWY31-003
30000000-0000-0000-0000-000000000004,BRG-PAC-001,Clarence River Bridge,Clarence Valley,NSW,Truss,Steel,-29.4567,153.2134,10000000-0000-0000-0000-000000000002,614.8,GOOD,88,2024-05-01,1990,52.1,10.4,6.1,UNRESTRICTED,true,Clarence Valley,TfNSW,TfNSW Roads & Maritime,9,8,2,56.5,12.0,M1600,true,,true,true,true,false,MEDIUM,8500,https://opendata.transport.nsw.gov.au/dataset/bridge-and-major-culvert-data,NHVR-BRG-NSW-004,TfNSW-BRIDGE-004,Pacific Highway upgrade completed 1990. High traffic coastal route.,Pacific Highway,A1,AS 5100.2,AS 5100.7,Zone 1,2026-05-01,TfNSW Open Data,BANC-NSW-PAC-001,https://bancdata.austroads.com.au/bridge/BANC-NSW-PAC-001,BANC,BANC-NSW-PAC-001,https://bancdata.austroads.com.au/bridge/BANC-NSW-PAC-001
30000000-0000-0000-0000-000000000005,BRG-PAC-002,Manning River Bridge,Mid-Coast,NSW,Beam,Concrete,-31.8923,152.5234,10000000-0000-0000-0000-000000000002,367.5,FAIR,55,2024-02-14,1972,30.8,9.0,5.0,UNRESTRICTED,true,Mid-Coast,TfNSW,TfNSW Roads & Maritime,5,4,2,33.6,10.2,T44,true,,true,false,true,true,MEDIUM,4200,https://opendata.transport.nsw.gov.au/dataset/bridge-and-major-culvert-data,NHVR-BRG-NSW-005,TfNSW-BRIDGE-005,Deck resurfacing completed 2023. Bearing replacement due 2026.,Pacific Highway,A1,AS 5100.2,AS 5100.7,Zone 1,2026-02-14,TfNSW Open Data,BANC-NSW-PAC-002,https://bancdata.austroads.com.au/bridge/BANC-NSW-PAC-002,BANC,BANC-NSW-PAC-002,https://bancdata.austroads.com.au/bridge/BANC-NSW-PAC-002
30000000-0000-0000-0000-000000000006,BRG-STU-001,Katherine River Bridge,Katherine,NT,Deck Girder,Steel,-14.4678,132.2634,10000000-0000-0000-0000-000000000004,313.2,FAIR,58,2023-12-05,1980,42.5,8.6,4.9,POSTED,true,Katherine,NT DOI,NT Department of Infrastructure,6,6,2,46.8,9.8,T44,true,NT Gazette 2023/045,true,true,true,true,HIGH,2200,https://data.nt.gov.au,NHVR-BRG-NT-001,NT-DOI-BRIDGE-001,Critical wet season flooding risk. Scour protection works required.,Stuart Highway,A1,AS 5100.2,AS 5100.7,Zone 2,2025-06-05,NT Government Open Data,BANC-NT-STU-001,https://bancdata.austroads.com.au/bridge/BANC-NT-STU-001,BANC,BANC-NT-STU-001,https://bancdata.austroads.com.au/bridge/BANC-NT-STU-001
30000000-0000-0000-0000-000000000007,BRG-STU-002,Daly River Bridge,Daly,NT,Beam,Concrete,-13.7823,130.6923,10000000-0000-0000-0000-000000000004,218.9,GOOD,75,2024-04-20,1989,22.3,8.0,5.1,UNRESTRICTED,true,Daly,NT DOI,NT Department of Infrastructure,7,3,1,24.5,6.5,T44,false,,true,false,false,true,MEDIUM,850,https://data.nt.gov.au,NHVR-BRG-NT-002,NT-DOI-BRIDGE-002,Single lane - traffic signals required for opposing traffic.,Stuart Highway,A1,AS 5100.2,AS 5100.7,Zone 2,2026-04-20,NT Government Open Data,BANC-NT-STU-002,https://bancdata.austroads.com.au/bridge/BANC-NT-STU-002,BANC,BANC-NT-STU-002,https://bancdata.austroads.com.au/bridge/BANC-NT-STU-002
30000000-0000-0000-0000-000000000008,BRG-MID-001,Campaspe River Bridge,Central Victoria,VIC,Beam,Concrete,-36.6234,144.3512,10000000-0000-0000-0000-000000000008,187.3,CRITICAL,22,2023-08-15,1948,15.8,6.8,3.9,CLOSED,true,Greater Bendigo,VicRoads,VicRoads Southern Operations,2,3,2,18.5,8.0,T44,true,VIC Gazette 2023/156,false,false,true,true,CRITICAL,1200,https://discover.data.vic.gov.au,NHVR-BRG-VIC-001,VicRoads-BRIDGE-001,CLOSED - critical structural failure risk. Emergency strengthening underway.,Midland Highway,B260,AS 5100.2,AS 5100.7,Zone 1,2024-02-15,VicRoads Open Data,BANC-VIC-MID-001,https://bancdata.austroads.com.au/bridge/BANC-VIC-MID-001,BANC,BANC-VIC-MID-001,https://bancdata.austroads.com.au/bridge/BANC-VIC-MID-001
30000000-0000-0000-0000-000000000009,BRG-MID-002,Loddon River Bridge,Loddon Mallee,VIC,T-Beam,Concrete,-36.8456,143.9234,10000000-0000-0000-0000-000000000008,215.6,POOR,41,2024-01-08,1961,20.5,7.2,4.4,POSTED,true,Loddon Shire,VicRoads,VicRoads Northern Operations,4,4,2,22.8,9.2,T44,true,VIC Gazette 2024/022,true,false,false,true,HIGH,1800,https://discover.data.vic.gov.au,NHVR-BRG-VIC-002,VicRoads-BRIDGE-002,Annual flood closure risk. Scour monitoring installed 2023.,Midland Highway,B260,AS 5100.2,AS 5100.7,Zone 1,2025-01-08,VicRoads Open Data,BANC-VIC-MID-002,https://bancdata.austroads.com.au/bridge/BANC-VIC-MID-002,BANC,BANC-VIC-MID-002,https://bancdata.austroads.com.au/bridge/BANC-VIC-MID-002
30000000-0000-0000-0000-000000000010,BRG-BAR-001,Flinders River Bridge,North-West QLD,QLD,Deck Truss,Steel,-20.1234,141.9823,10000000-0000-0000-0000-000000000006,892.4,GOOD,79,2024-06-10,1985,65.3,9.8,5.8,UNRESTRICTED,true,McKinlay Shire,TMR QLD,TMR North West Region,8,10,2,70.5,11.0,M1600,true,,true,true,true,true,MEDIUM,3800,https://data.qld.gov.au,NHVR-BRG-QLD-001,TMR-QLD-BRIDGE-001,Key heavy vehicle route for North Queensland beef and mineral transport.,Flinders Highway,A2,AS 5100.2,AS 5100.7,Zone 1,2026-06-10,QLD TMR Open Data,BANC-QLD-BAR-001,https://bancdata.austroads.com.au/bridge/BANC-QLD-BAR-001,BANC,BANC-QLD-BAR-001,https://bancdata.austroads.com.au/bridge/BANC-QLD-BAR-001
