bridgeId,name,region,state,lga,roadRoute,routeNumber,assetOwner,maintenanceAuthority,condition,conditionRating,postingStatus,structureType,material,clearanceHeightM,spanLengthM,totalLengthM,widthM,numberOfSpans,numberOfLanes,latitude,longitude,inspectionDate,yearBuilt,designLoad,nhvrRouteAssessed,gazetteRef,nhvrRef,aadtVehicles,freightRoute,overMassRoute,highPriorityAsset,floodImpacted,scourRisk,sourceRefURL,openDataRef,remarks
NSW-VC-00002,Eb Bridge On High St Over Freeway F1 at North Sydney,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.77,,,,,,-33.84167,151.21091,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,EB BRIDGE ON HIGH ST OVER FREEWAY F1 at NORTH SYDNEY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00003,Wb Bridge On High St Over Freeway F.1 at North Sydney,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.79,,,,,,-33.84189,151.21117,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,WB BRIDGE ON HIGH ST OVER FREEWAY F.1 at NORTH SYDNEY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00004,Bridge On Mount St Over F1 (S/B) at At North Sydney,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.79,,,,,,-33.83939,151.21102,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON MOUNT ST OVER F1 (S/B) at AT NORTH SYDNEY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00005,Brdg On Mount St Over F1 (N/B) at At North Sydney,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.78,,,,,,-33.83931,151.21046,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRDG ON MOUNT ST OVER F1 (N/B) at AT NORTH SYDNEY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00006,Ped Br At Ridge St Ov Warringah Fwy at At North Sydney,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.59,,,,,,-33.83342,151.21135,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PED BR AT RIDGE ST OV WARRINGAH FWY at AT NORTH SYDNEY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00009,Bridge On Ernest St Over Freeway F.1 at At Cammeray (W Bridge),Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.95,,,,,,-33.82745,151.21347,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON ERNEST ST OVER FREEWAY F.1 at AT CAMMERAY (W BRIDGE); SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00010,Bridge On Ernest St Over Freeway F.1 at At Cammeray-Mid Bdg,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.23,,,,,,-33.82757,151.21401,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON ERNEST ST OVER FREEWAY F.1 at AT CAMMERAY-MID BDG; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00011,Bridge On Ernest St Ov Freeway F.1 at At Cammeray (E Bdg),Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.0,,,,,,-33.82765,151.21468,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON ERNEST ST OV FREEWAY F.1 at AT CAMMERAY (E BDG); SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00013,Br On West St Ov Warringah Fway at At Cammeray,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.19,,,,,,-33.82372,151.20746,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON WEST ST OV WARRINGAH FWAY at AT CAMMERAY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00014,S/B Bridge On F.1 Ov Brook St-Sr2093 at At Naremburn,Eastern Sydney,NSW,Eastern Harbour City,,2093,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.24,,,,,,-33.82108,151.20471,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,S/B BRIDGE ON F.1 OV BROOK ST-SR2093 at AT NAREMBURN; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
