ID,timestamp,userId,userRole,action,entity,entityId,entityName,changes,description
b0000000-0000-0000-0000-000000000001,2024-01-20T18:00:00Z,m.chen,BridgeManager,CREATE,Restriction,40000000-0000-0000-0000-000000000001,B-Double mass restriction — Goulburn River Bridge,"{""status"":""ACTIVE"",""value"":42.5,""unit"":""t""}",Mass restriction created on Goulburn River Bridge following principal inspection
b0000000-0000-0000-0000-000000000002,2024-01-20T18:05:00Z,m.chen,BridgeManager,UPDATE,Bridge,30000000-0000-0000-0000-000000000002,Goulburn River Bridge,"{""postingStatus"":{""from"":""UNRESTRICTED"",""to"":""POSTED""}}",Bridge posting status changed to POSTED following restriction application
b0000000-0000-0000-0000-000000000003,2023-11-10T18:00:00Z,r.patel,Admin,CREATE,Restriction,40000000-0000-0000-0000-000000000002,Height restriction — Jugiong Creek Bridge,"{""status"":""ACTIVE"",""value"":4.2,""unit"":""m""}",Height restriction applied after concrete soffit degradation detected
b0000000-0000-0000-0000-000000000004,2023-11-10T18:10:00Z,r.patel,Admin,UPDATE,Bridge,30000000-0000-0000-0000-000000000003,Jugiong Creek Bridge,"{""postingStatus"":{""from"":""UNRESTRICTED"",""to"":""POSTED""},""conditionRating"":{""from"":5,""to"":4}}",Bridge condition rating and posting status updated after principal inspection
b0000000-0000-0000-0000-000000000005,2023-08-15T14:30:00Z,admin,Admin,UPDATE,Bridge,30000000-0000-0000-0000-000000000008,Campaspe River Bridge,"{""postingStatus"":{""from"":""POSTED"",""to"":""CLOSED""}}",Emergency bridge closure — critical structural failure risk
b0000000-0000-0000-0000-000000000006,2023-08-15T14:35:00Z,admin,Admin,CREATE,Restriction,40000000-0000-0000-0000-000000000007,Emergency closure restriction — Campaspe River Bridge,"{""status"":""ACTIVE"",""restrictionType"":""CLOSURE""}",Emergency closure restriction created
b0000000-0000-0000-0000-000000000007,2024-03-15T17:00:00Z,j.thompson,BridgeManager,UPDATE,Bridge,30000000-0000-0000-0000-000000000001,Marulan Creek Bridge,"{""conditionRating"":{""from"":7,""to"":8},""inspectionDate"":""2024-03-15""}",Condition rating updated following routine inspection
b0000000-0000-0000-0000-000000000008,2024-01-08T10:00:00Z,vicroads.north,BridgeManager,CREATE,Restriction,40000000-0000-0000-0000-000000000006,Mass restriction — Loddon River Bridge,"{""status"":""ACTIVE"",""value"":30,""unit"":""t""}",Mass restriction applied following 2024 flood damage assessment
b0000000-0000-0000-0000-000000000009,2023-09-22T10:00:00Z,tfnsw.newengland,BridgeManager,CREATE,Restriction,40000000-0000-0000-0000-000000000008,Mass restriction — Nean Creek Bridge,"{""status"":""ACTIVE"",""value"":16,""unit"":""t""}",Timber bridge load restriction applied — end of design life
b0000000-0000-0000-0000-000000000010,2023-12-05T12:00:00Z,nt.doi,BridgeManager,CREATE,Restriction,40000000-0000-0000-0000-000000000005,Mass restriction — Katherine River Bridge,"{""status"":""ACTIVE""}",Wet season mass restriction applied — scour risk at 3 piers
b0000000-0000-0000-0000-000000000011,2024-06-10T17:00:00Z,tmr.inspector,BridgeManager,UPDATE,Bridge,30000000-0000-0000-0000-000000000010,Flinders River Bridge,"{""inspectionDate"":""2024-06-10"",""conditionRating"":8}",Annual inspection completed — condition rating confirmed GOOD
b0000000-0000-0000-0000-000000000012,2024-07-01T17:00:00Z,tfnsw.inspector,BridgeManager,UPDATE,Bridge,30000000-0000-0000-0000-000000000011,Hawkesbury River Bridge,"{""inspectionDate"":""2024-07-01"",""conditionRating"":9}",Annual inspection completed — VERY GOOD condition confirmed
