ID,tenant_ID,capabilityCode,role,canView,canEdit,canAdmin,notes
rc-nhvr-bridge-admin,t-nhvr-national,BRIDGE_REGISTRY,ADMIN,true,true,true,
rc-nhvr-bridge-bm,t-nhvr-national,BRIDGE_REGISTRY,BRIDGE_MANAGER,true,true,false,
rc-nhvr-bridge-insp,t-nhvr-national,BRIDGE_REGISTRY,INSPECTOR,true,false,false,
rc-nhvr-bridge-op,t-nhvr-national,BRIDGE_REGISTRY,OPERATOR,true,false,false,
rc-nhvr-bridge-ro,t-nhvr-national,BRIDGE_REGISTRY,READ_ONLY,true,false,false,
rc-nhvr-restr-admin,t-nhvr-national,RESTRICTIONS,ADMIN,true,true,true,
rc-nhvr-restr-bm,t-nhvr-national,RESTRICTIONS,BRIDGE_MANAGER,true,true,false,
rc-nhvr-restr-insp,t-nhvr-national,RESTRICTIONS,INSPECTOR,true,false,false,
rc-nhvr-restr-op,t-nhvr-national,RESTRICTIONS,OPERATOR,true,false,false,
rc-nhvr-restr-ro,t-nhvr-national,RESTRICTIONS,READ_ONLY,true,false,false,
rc-nhvr-map-admin,t-nhvr-national,MAP_VIEW,ADMIN,true,true,true,
rc-nhvr-map-bm,t-nhvr-national,MAP_VIEW,BRIDGE_MANAGER,true,true,false,
rc-nhvr-map-insp,t-nhvr-national,MAP_VIEW,INSPECTOR,true,false,false,
rc-nhvr-map-op,t-nhvr-national,MAP_VIEW,OPERATOR,true,false,false,
rc-nhvr-map-ro,t-nhvr-national,MAP_VIEW,READ_ONLY,true,false,false,
rc-nhvr-insp-admin,t-nhvr-national,INSPECTIONS,ADMIN,true,true,true,
rc-nhvr-insp-bm,t-nhvr-national,INSPECTIONS,BRIDGE_MANAGER,true,true,false,
rc-nhvr-insp-insp,t-nhvr-national,INSPECTIONS,INSPECTOR,true,true,false,
rc-nhvr-insp-op,t-nhvr-national,INSPECTIONS,OPERATOR,true,false,false,
rc-nhvr-insp-ro,t-nhvr-national,INSPECTIONS,READ_ONLY,true,false,false,
rc-nhvr-def-admin,t-nhvr-national,DEFECTS,ADMIN,true,true,true,
rc-nhvr-def-bm,t-nhvr-national,DEFECTS,BRIDGE_MANAGER,true,true,false,
rc-nhvr-def-insp,t-nhvr-national,DEFECTS,INSPECTOR,true,true,false,
rc-nhvr-def-op,t-nhvr-national,DEFECTS,OPERATOR,true,false,false,
rc-nhvr-def-ro,t-nhvr-national,DEFECTS,READ_ONLY,true,false,false,
rc-nhvr-upload-admin,t-nhvr-national,MASS_UPLOAD,ADMIN,true,true,true,
