bridge_id,bridge_name,lga,region,state,road_route,route_number,asset_owner,maintenance_authority,condition,condition_rating,posting_status,structure_type,material,clearance_height_m,main_span_m,total_length_m,width_m,no_of_spans,no_of_lanes,latitude,longitude,nhvr_route_assessed,over_mass_route,gazette_reference,aadt,freight_route,flood_impacted,scour_risk,seismic_zone,data_source,source_url,last_updated,data_confidence,notes
NSW_BR_0001,Sydney Harbour Bridge,City of Sydney,Sydney Metro,NSW,Bradfield Highway,A8,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Steel Truss,Steel,5,503,1149,49,3,8,-33.8523,151.2108,true,true,NSW Gazette 2019-112,160000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-06-15,Sourced,Iconic heritage listed structure; data sourced from TfNSW open dataset
NSW_BR_0002,Anzac Bridge,City of Sydney,Sydney Metro,NSW,Western Distributor,A3,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Cable Stayed,Composite,6.5,345,805,32,5,6,-33.8711,151.1877,true,true,NSW Gazette 2020-088,95000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-06-15,Sourced,Cable-stayed; opened 1995; TfNSW maintained
NSW_BR_0003,Iron Cove Bridge,Inner West Council,Sydney Metro,NSW,Victoria Road,A40,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Concrete Box Girder,Concrete,5.5,80,210,22,4,4,-33.8618,151.1542,true,false,NSW Gazette 2021-034,55000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-10,Sourced,Crosses Iron Cove; modern concrete box girder
NSW_BR_0004,Gladesville Bridge,Ryde City Council,Sydney Metro,NSW,Victoria Road,A40,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Reinforced Concrete Arch,Concrete,6,305,578,18,1,4,-33.8389,151.1419,true,false,NSW Gazette 2018-076,48000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-22,Sourced,World's longest concrete arch at opening 1964; ongoing monitoring
NSW_BR_0005,Captain Cook Bridge,Georges River Council,Sydney Metro,NSW,Princess Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.8,90,320,24,5,6,-33.9961,151.0536,true,true,NSW Gazette 2020-055,72000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-18,Sourced,Crosses Georges River on Princes Highway; freight route
NSW_BR_0006,Mooney Mooney Creek Bridge,Gosford,Central Coast,NSW,M1 Pacific Motorway,M1,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Concrete Box Girder,Concrete,7,95,292,22,5,4,-33.4833,151.2167,true,true,NSW Gazette 2019-098,68000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-01,Sourced,High viaduct over Mooney Mooney Creek gorge; excellent condition
NSW_BR_0007,Pheasants Nest Bridge,Wollondilly Shire,Southern Highlands,NSW,Hume Motorway,M31,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Prestressed Concrete Girder,Concrete,7,78,245,20,4,4,-34.2667,150.5167,true,true,NSW Gazette 2020-031,45000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-01,Sourced,Motorway viaduct over Nepean River gorge
NSW_BR_0008,Victoria Bridge Penrith,Penrith City Council,Sydney Metro,NSW,Great Western Highway,A32,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,55,180,18,4,4,-33.7518,150.694,true,false,NSW Gazette 2017-065,38000,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-14,Sourced,Crosses Nepean River; flood risk noted from 2022 event
NSW_BR_0009,Nowra Bridge,Shoalhaven City Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,75,285,14,6,2,-34.8789,150.5997,true,false,NSW Gazette 2016-044,22000,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-20,Sourced,Shoalhaven River crossing; aging steel girder structure
NSW_BR_0010,Grafton Bridge,Clarence Valley Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Truss,Steel,4.8,150,468,12,5,2,-29.69,152.93,true,false,NSW Gazette 2015-028,18000,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-10,Sourced,Clarence River crossing; heritage steel truss; flood risk
