ID,capabilityCode,displayName,description,category,isCoreFeature,defaultEnabled,sortOrder,iconUri,minRoleRequired,isActive,dependsOn
fc-bridge-registry,BRIDGE_REGISTRY,Bridge Registry,Core bridge asset register — view search and manage all bridge records,CORE,true,true,10,sap-icon://map-2,READ_ONLY,true,
fc-restrictions,RESTRICTIONS,Restriction Management,Create and manage legal load height width and speed restrictions,CORE,true,true,20,sap-icon://permission,BRIDGE_MANAGER,true,
fc-map-view,MAP_VIEW,Interactive Map,Spatial map view with overlay layers clustering and spatial queries,CORE,true,true,30,sap-icon://map,READ_ONLY,true,
fc-reports,REPORTS,Analytics and Reports,Compliance condition and restriction reporting dashboards,CORE,true,true,40,sap-icon://bar-chart,READ_ONLY,true,
fc-exec-dashboard,EXECUTIVE_DASHBOARD,Executive Dashboard,KPI tiles and network health summary for leadership,CORE,true,true,50,sap-icon://da,READ_ONLY,true,
fc-inspections,INSPECTIONS,Inspection Orders,Formal inspection work orders per AS 5100.7 and AustRoads BIMM,INSPECTION,false,true,60,sap-icon://inspect,INSPECTOR,true,BRIDGE_REGISTRY
fc-defects,DEFECTS,Defect Register,Raise manage and close bridge defects from inspection findings,INSPECTION,false,true,70,sap-icon://alert,INSPECTOR,true,"BRIDGE_REGISTRY,INSPECTIONS"
fc-capacity,CAPACITY_RATINGS,Structural Capacity and Load Ratings,AS 5100.7 load ratings and structural capacity assessments,INSPECTION,false,false,80,sap-icon://technical-object,BRIDGE_MANAGER,true,"BRIDGE_REGISTRY,INSPECTIONS"
fc-mass-upload,MASS_UPLOAD,Bulk CSV Import,Mass upload of bridges restrictions inspections and lookups via CSV,ADMIN,false,true,90,sap-icon://upload,BRIDGE_MANAGER,true,BRIDGE_REGISTRY
fc-mass-edit,MASS_EDIT,Bulk Edit,Spreadsheet-style mass editing of bridge records,ADMIN,false,true,100,sap-icon://edit,BRIDGE_MANAGER,true,BRIDGE_REGISTRY
fc-admin-config,ADMIN_CONFIG,Admin Configuration,Attribute definitions lookups map config role config and restriction types,ADMIN,false,false,110,sap-icon://settings,ADMIN,true,BRIDGE_REGISTRY
fc-integration,INTEGRATION_HUB,Integration Hub,External system connectors — BANC AustRoads RMS VicRoads sync,INTEGRATION,false,false,120,sap-icon://it-system,ADMIN,true,BRIDGE_REGISTRY
fc-permits,PERMITS,Vehicle Permits,Vehicle permit register and AS 5100.7 permit assessment workflow,COMPLIANCE,false,true,130,sap-icon://document-text,OPERATOR,true,"BRIDGE_REGISTRY,RESTRICTIONS"
fc-route-assess,ROUTE_ASSESSMENT,Route Assessment,Approved route register and vehicle-on-bridge engineering assessment,COMPLIANCE,false,true,140,sap-icon://journey-arrive,OPERATOR,true,"BRIDGE_REGISTRY,RESTRICTIONS"
fc-freight,FREIGHT_ROUTES,Freight Route Corridors,Gazette-linked freight route corridor management,COMPLIANCE,false,false,150,sap-icon://along-stacked-chart,BRIDGE_MANAGER,true,BRIDGE_REGISTRY
fc-vehicles,VEHICLE_COMBINATIONS,Vehicle Combinations,PBS vehicle configuration and combination type management,COMPLIANCE,false,false,160,sap-icon://vehicle-combination,OPERATOR,true,BRIDGE_REGISTRY
fc-bridge-iq,BRIDGE_IQ,BridgeIQ Predictive Analytics,AI and ML-driven predictive maintenance and risk scoring dashboard,ANALYTICS,false,false,170,sap-icon://machine-learning,ADMIN,true,"BRIDGE_REGISTRY,INSPECTIONS"
fc-work-orders,WORK_ORDERS,Work Order Management,SAP PM work order integration and maintenance programme tracking,ADMIN,false,false,180,sap-icon://workflow-tasks,BRIDGE_MANAGER,true,BRIDGE_REGISTRY
