ID,role,featureKey,featureType,label,visible,editable,sortOrder,featureEnabled,fieldName,fieldVisible,fieldEditable,fieldRequired
rc-admin-dashboard,ADMIN,dashboard,MENU,Dashboard,true,true,1,true,,,,
rc-admin-bridges,ADMIN,bridges,MENU,Bridges,true,true,2,true,,,,
rc-admin-restrictions,ADMIN,restrictions,MENU,Restrictions,true,true,3,true,,,,
rc-admin-mapview,ADMIN,mapview,MENU,Map View,true,true,4,true,,,,
rc-admin-reports,ADMIN,reports,MENU,Reports,true,true,5,true,,,,
rc-admin-massupload,ADMIN,massupload,MENU,Mass Upload,true,true,6,true,,,,
rc-admin-adminconfig,ADMIN,adminconfig,MENU,Admin Config,true,true,7,true,,,,
rc-admin-massedit,ADMIN,massedit,MENU,Mass Edit,true,true,8,true,,,,
rc-admin-overview,ADMIN,overview,TAB,Overview Tab,true,true,1,true,,,,
rc-admin-capacity,ADMIN,capacity,TAB,Capacity Tab,true,true,2,true,,,,
rc-admin-restrictions-tab,ADMIN,restrictions-tab,TAB,Restrictions Tab,true,true,3,true,,,,
rc-admin-inspections,ADMIN,inspections,TAB,Inspections Tab,true,true,4,true,,,,
rc-admin-defects,ADMIN,defects,TAB,Defects Tab,true,true,5,true,,,,
rc-admin-attributes,ADMIN,attributes,TAB,Attributes Tab,true,true,6,true,,,,
rc-admin-history,ADMIN,history,TAB,History Tab,true,true,7,true,,,,
rc-admin-extsys,ADMIN,externalSystems,TAB,External Systems Tab,true,true,8,true,,,,
rc-admin-addbridge,ADMIN,addBridge,ACTION,Add Bridge,true,true,1,true,,,,
rc-admin-editbridge,ADMIN,editBridge,ACTION,Edit Bridge,true,true,2,true,,,,
rc-admin-addrestriction,ADMIN,addRestriction,ACTION,Add Restriction,true,true,3,true,,,,
rc-admin-massupload-action,ADMIN,massUpload,ACTION,Mass Upload,true,true,4,true,,,,
rc-mgr-dashboard,BRIDGE_MANAGER,dashboard,MENU,Dashboard,true,true,1,true,,,,
rc-mgr-bridges,BRIDGE_MANAGER,bridges,MENU,Bridges,true,true,2,true,,,,
rc-mgr-restrictions,BRIDGE_MANAGER,restrictions,MENU,Restrictions,true,true,3,true,,,,
rc-mgr-mapview,BRIDGE_MANAGER,mapview,MENU,Map View,true,true,4,true,,,,
rc-mgr-reports,BRIDGE_MANAGER,reports,MENU,Reports,true,true,5,true,,,,
rc-mgr-massupload,BRIDGE_MANAGER,massupload,MENU,Mass Upload,false,false,6,true,,,,
rc-mgr-adminconfig,BRIDGE_MANAGER,adminconfig,MENU,Admin Config,false,false,7,true,,,,
rc-mgr-massedit,BRIDGE_MANAGER,massedit,MENU,Mass Edit,true,true,8,true,,,,
rc-mgr-overview,BRIDGE_MANAGER,overview,TAB,Overview Tab,true,true,1,true,,,,
rc-mgr-capacity,BRIDGE_MANAGER,capacity,TAB,Capacity Tab,true,true,2,true,,,,
rc-mgr-restrictions-tab,BRIDGE_MANAGER,restrictions-tab,TAB,Restrictions Tab,true,true,3,true,,,,
rc-mgr-inspections,BRIDGE_MANAGER,inspections,TAB,Inspections Tab,true,true,4,true,,,,
rc-mgr-defects,BRIDGE_MANAGER,defects,TAB,Defects Tab,true,true,5,true,,,,
rc-mgr-attributes,BRIDGE_MANAGER,attributes,TAB,Attributes Tab,true,true,6,true,,,,
rc-mgr-history,BRIDGE_MANAGER,history,TAB,History Tab,true,true,7,true,,,,
rc-mgr-extsys,BRIDGE_MANAGER,externalSystems,TAB,External Systems Tab,false,false,8,true,,,,
rc-mgr-addbridge,BRIDGE_MANAGER,addBridge,ACTION,Add Bridge,true,true,1,true,,,,
rc-mgr-editbridge,BRIDGE_MANAGER,editBridge,ACTION,Edit Bridge,true,true,2,true,,,,
rc-mgr-addrestriction,BRIDGE_MANAGER,addRestriction,ACTION,Add Restriction,true,true,3,true,,,,
rc-mgr-massupload-action,BRIDGE_MANAGER,massUpload,ACTION,Mass Upload,false,false,4,true,,,,
rc-insp-dashboard,INSPECTOR,dashboard,MENU,Dashboard,true,true,1,true,,,,
rc-insp-bridges,INSPECTOR,bridges,MENU,Bridges,true,true,2,true,,,,
rc-insp-restrictions,INSPECTOR,restrictions,MENU,Restrictions,true,false,3,true,,,,
rc-insp-mapview,INSPECTOR,mapview,MENU,Map View,true,true,4,true,,,,
rc-insp-reports,INSPECTOR,reports,MENU,Reports,true,false,5,true,,,,
rc-insp-massupload,INSPECTOR,massupload,MENU,Mass Upload,false,false,6,true,,,,
rc-insp-adminconfig,INSPECTOR,adminconfig,MENU,Admin Config,false,false,7,true,,,,
rc-insp-massedit,INSPECTOR,massedit,MENU,Mass Edit,false,false,8,true,,,,
rc-insp-overview,INSPECTOR,overview,TAB,Overview Tab,true,true,1,true,,,,
rc-insp-capacity,INSPECTOR,capacity,TAB,Capacity Tab,true,false,2,true,,,,
rc-insp-restrictions-tab,INSPECTOR,restrictions-tab,TAB,Restrictions Tab,true,false,3,true,,,,
rc-insp-inspections,INSPECTOR,inspections,TAB,Inspections Tab,true,true,4,true,,,,
rc-insp-defects,INSPECTOR,defects,TAB,Defects Tab,true,true,5,true,,,,
rc-insp-attributes,INSPECTOR,attributes,TAB,Attributes Tab,true,false,6,true,,,,
rc-insp-history,INSPECTOR,history,TAB,History Tab,true,false,7,true,,,,
rc-insp-extsys,INSPECTOR,externalSystems,TAB,External Systems Tab,false,false,8,true,,,,
rc-insp-addbridge,INSPECTOR,addBridge,ACTION,Add Bridge,false,false,1,true,,,,
rc-insp-editbridge,INSPECTOR,editBridge,ACTION,Edit Bridge,false,false,2,true,,,,
rc-insp-addrestriction,INSPECTOR,addRestriction,ACTION,Add Restriction,false,false,3,true,,,,
rc-insp-massupload-action,INSPECTOR,massUpload,ACTION,Mass Upload,false,false,4,true,,,,
rc-op-dashboard,OPERATOR,dashboard,MENU,Dashboard,true,true,1,true,,,,
rc-op-bridges,OPERATOR,bridges,MENU,Bridges,true,true,2,true,,,,
rc-op-restrictions,OPERATOR,restrictions,MENU,Restrictions,true,false,3,true,,,,
rc-op-mapview,OPERATOR,mapview,MENU,Map View,true,true,4,true,,,,
rc-op-reports,OPERATOR,reports,MENU,Reports,false,false,5,true,,,,
rc-op-massupload,OPERATOR,massupload,MENU,Mass Upload,false,false,6,true,,,,
rc-op-adminconfig,OPERATOR,adminconfig,MENU,Admin Config,false,false,7,true,,,,
rc-op-massedit,OPERATOR,massedit,MENU,Mass Edit,false,false,8,true,,,,
rc-op-overview,OPERATOR,overview,TAB,Overview Tab,true,true,1,true,,,,
rc-op-capacity,OPERATOR,capacity,TAB,Capacity Tab,true,false,2,true,,,,
rc-op-restrictions-tab,OPERATOR,restrictions-tab,TAB,Restrictions Tab,true,false,3,true,,,,
rc-op-inspections,OPERATOR,inspections,TAB,Inspections Tab,false,false,4,true,,,,
rc-op-defects,OPERATOR,defects,TAB,Defects Tab,false,false,5,true,,,,
rc-op-attributes,OPERATOR,attributes,TAB,Attributes Tab,false,false,6,true,,,,
rc-op-history,OPERATOR,history,TAB,History Tab,false,false,7,true,,,,
rc-op-extsys,OPERATOR,externalSystems,TAB,External Systems Tab,false,false,8,true,,,,
rc-op-addbridge,OPERATOR,addBridge,ACTION,Add Bridge,false,false,1,true,,,,
rc-op-editbridge,OPERATOR,editBridge,ACTION,Edit Bridge,false,false,2,true,,,,
rc-op-addrestriction,OPERATOR,addRestriction,ACTION,Add Restriction,false,false,3,true,,,,
rc-op-massupload-action,OPERATOR,massUpload,ACTION,Mass Upload,false,false,4,true,,,,
rc-ro-dashboard,READ_ONLY,dashboard,MENU,Dashboard,true,false,1,true,,,,
rc-ro-bridges,READ_ONLY,bridges,MENU,Bridges,true,false,2,true,,,,
rc-ro-restrictions,READ_ONLY,restrictions,MENU,Restrictions,true,false,3,true,,,,
rc-ro-mapview,READ_ONLY,mapview,MENU,Map View,true,false,4,true,,,,
rc-ro-reports,READ_ONLY,reports,MENU,Reports,true,false,5,true,,,,
rc-ro-massupload,READ_ONLY,massupload,MENU,Mass Upload,false,false,6,true,,,,
rc-ro-adminconfig,READ_ONLY,adminconfig,MENU,Admin Config,false,false,7,true,,,,
rc-ro-massedit,READ_ONLY,massedit,MENU,Mass Edit,false,false,8,true,,,,
rc-ro-overview,READ_ONLY,overview,TAB,Overview Tab,true,false,1,true,,,,
rc-ro-capacity,READ_ONLY,capacity,TAB,Capacity Tab,true,false,2,true,,,,
rc-ro-restrictions-tab,READ_ONLY,restrictions-tab,TAB,Restrictions Tab,true,false,3,true,,,,
rc-ro-inspections,READ_ONLY,inspections,TAB,Inspections Tab,true,false,4,true,,,,
rc-ro-defects,READ_ONLY,defects,TAB,Defects Tab,true,false,5,true,,,,
rc-ro-attributes,READ_ONLY,attributes,TAB,Attributes Tab,true,false,6,true,,,,
rc-ro-history,READ_ONLY,history,TAB,History Tab,true,false,7,true,,,,
rc-ro-extsys,READ_ONLY,externalSystems,TAB,External Systems Tab,false,false,8,true,,,,
rc-ro-addbridge,READ_ONLY,addBridge,ACTION,Add Bridge,false,false,1,true,,,,
rc-ro-editbridge,READ_ONLY,editBridge,ACTION,Edit Bridge,false,false,2,true,,,,
