ID,name,label,dataType,entityTarget,isRequired,defaultValue,displayOrder,isActive
50000000-0000-0000-0000-000000000001,floodFrequency,Flood Frequency (years),INTEGER,BRIDGE,false,,1,true
50000000-0000-0000-0000-000000000002,deckSurfaceType,Deck Surface Type,STRING,BRIDGE,false,,2,true
50000000-0000-0000-0000-000000000003,foundationType,Foundation Type,STRING,BRIDGE,false,,3,true
50000000-0000-0000-0000-000000000004,scourRating,Scour Vulnerability Rating,STRING,BRIDGE,false,MEDIUM,4,true
50000000-0000-0000-0000-000000000005,nhvrAssetId,NHVR Asset Reference ID,STRING,BRIDGE,false,,5,true
50000000-0000-0000-0000-000000000006,ownerAgency,Owner/Responsible Agency,STRING,BRIDGE,true,,6,true
50000000-0000-0000-0000-000000000007,maintenanceZone,Maintenance Zone,STRING,BRIDGE,false,,7,true
50000000-0000-0000-0000-000000000008,floodwayBridge,Floodway Bridge,BOOLEAN,BRIDGE,false,false,8,true
50000000-0000-0000-0000-000000000009,seismicZone,Seismic Zone,STRING,BRIDGE,false,,9,true
50000000-0000-0000-0000-000000000010,lastPaintDate,Last Painting Date,DATE,BRIDGE,false,,10,true
